id,word,pronunciation_arpabet,primary_part_of_speech,primary_definition,synonyms,examples,source_list_count,priority_tier,source,ranking_source_url,verified_on
"vocab-0001","audacious","AA0 D EY1 SH AH0 S","adjective","disposed to venture or take risks","[""daring"",""venturesome"",""venturous"",""barefaced"",""bodacious"",""bald-faced"",""brassy"",""brazen"",""brazen-faced"",""insolent""]","[""audacious visions of the total conquest of space"",""an audacious interpretation of two Jacobean dramas"",""the most daring of contemporary fiction writers"",""a venturesome investor""]","13","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0002","cogent","K OW1 JH AH0 N T","adjective","powerfully persuasive","[""telling"",""weighty""]","[""a cogent argument"",""a telling presentation"",""a weighty argument""]","13","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0003","malleable","M AE1 L IY0 AH0 B AH0 L","adjective","capable of being shaped or bent or drawn out","[""ductile"",""pliable"",""pliant"",""tensile"",""tractile""]","[""ductile copper"",""malleable metals such as gold"",""they soaked the leather to made it pliable"",""pliant molten glass""]","13","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0004","reticent","R EH1 T IH0 S AH0 N T","adjective","reluctant to draw attention to yourself  ","[""self-effacing"",""retiring"",""untalkative""]","[]","13","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0005","admonish","AE0 D M AA1 N IH0 SH","verb","take to task","[""reprove"",""reproof""]","[""He admonished the child for his bad behavior""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0006","alacrity","AH0 L AE1 K R AH0 T IY0","noun","liveliness and eagerness","[""briskness"",""smartness""]","[""he accepted with alacrity"",""the smartness of the pace soon exhausted him""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0007","amenable","AH0 M EH1 N AH0 B AH0 L","adjective","liable to answer to a higher authority","[""tractable""]","[""the president is amenable to the constitutional court"",""an amenable hospitalization should not result in untimely death"",""the tumor was not amenable to surgical treatment"",""a tractable student""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0008","austere","AO0 S T IH1 R","adjective","of a stern or strict bearing or demeanor","[""stern"",""severe"",""stark""]","[""forbidding in aspect"",""an austere expression"",""a stern face"",""a stark interior""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0009","banal","B AH0 N AA1 L","adjective","repeated too often","[""commonplace"",""hackneyed"",""old-hat"",""shopworn"",""stock(a)"",""threadbare"",""timeworn"",""tired"",""trite"",""well-worn""]","[""overfamiliar through overuse"",""bromidic sermons"",""his remarks were trite and commonplace"",""hackneyed phrases""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0010","belie","B IH0 L AY1","verb","represent falsely","[""misrepresent"",""contradict"",""negate""]","[""This statement misrepresents my intentions""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0011","burgeon","B ER1 JH AH0 N","verb","grow and flourish","[]","[""The burgeoning administration"",""The burgeoning population""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0012","contrite","K AH0 N T R AY1 T","adjective","feeling or expressing pain or sorrow for sins or offenses  ","[""remorseful"",""rueful"",""ruthful""]","[]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
"vocab-0013","deride","D IH0 R AY1 D","verb","treat or speak of with contempt","[]","[""He derided his student's attempt to solve the biggest problem in mathematics""]","12","very_high","WordNet 3.1; CMU Pronouncing Dictionary; cross-list GRE frequency ranking","https://github.com/Xatta-Trone/gre-words-collection","2026-07-16"
