section,category,subcategory,question_no,question,option_a,option_b,option_c,option_d,option_e,verified_answer,answer_text,source_key,status,basis
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,23,"In the beginning of Madinan life, the Prophet Muhammad (PBUH) stayed in the settlement of:",Banu Saad,Banu Aws,Banu Nuzair,None of these,,,,A,UNRESOLVED — do not publish,"On reaching Madina he stayed at Quba with Banu Amr b. Awf, then Banu Najjar - neither is listed. Source says Banu Saad, which is Haleema's tribe and is wrong."
MPT Past Papers,Islamic General Knowledge,Seerah and Hadith,67,Which book of Seerat-e-Rasool (SAW) in Urdu is written without points/dots?,Rasool Alam,Hadi Alam,Sarwar Alam,None of these,,,,C,UNRESOLVED — do not publish,cannot confirm which dotless Urdu seerah title is meant; source says Sarwar Alam
MPT Past Papers,Pakistan Affairs,History and general knowledge,73,"The 10-rupee coin, recently issued by SBP, contains the picture of:",Derawar Fort,Faisal Mosque,Badshahi Mosque,None of these,,,,,UNRESOLVED — do not publish,cannot confirm which design the recent Rs-10 coin carries
MPT Past Papers,International Organizations,Source-period leadership and membership,211,Which country has recently been suspended from the African Union in 2024?,Sudan,Mali,Niger,None of these,,,,,UNRESOLVED — do not publish,"Niger, Gabon, Mali and Sudan were each suspended in earlier years, not 2024"
MPT Past Papers,Current Affairs,Events referenced in the 2022 paper,220,"As per IMF sources, Pakistan's GDP growth would be _____ in the year 2022.",3.96,3.94,3.92,None of these,,,,,UNRESOLVED — do not publish,IMF projection figure cannot be verified
MPT Past Papers,Current Affairs,Source-period world affairs,226,Magdy Eissa has set a new world Guinness World Record for the fastest journey to all Seven Wonders of the World. He started his journey from which wonder?,Taj Mahal,the Great wall of China,great Pyramid of Giz,None of These,,,,,UNRESOLVED — do not publish,cannot verify the starting wonder of this record attempt
MPT Past Papers,Current Affairs,Source-period world affairs,228,"Theme of ""World Thyroid Day 2024"" was:",Thyroid is curable,Goitre free World is essential.,Non-Communicable Diseases (NCDs),None of these,,,,,UNRESOLVED — do not publish,cannot verify the 2024 World Thyroid Day theme
MPT Past Papers,Books and Authors,Urdu drama,255,Free verse was introduce in Urdu Drama by:,Abdul Halim Sharar,Agha Hassan Amanat,Altaf Hussain Hali,Imtiaz Ali Taj,,,,,UNRESOLVED — do not publish,cannot verify
MPT Past Papers,Books and Authors,Urdu drama,256,Urdu Drama got increasingly close to everyday life:,In the nineteenth century,In first half of the twentieth century,In first quarter of the twentieth century,In second quarter of the twentieth century.,,,,,UNRESOLVED — do not publish,cannot verify
MPT Past Papers,Books and Authors,Urdu drama,257,Meeraz Adeeb was the contemporary of:,Abdul Halim Sharar,Imtiaz Ali Taj,Altaf Hussain Hali,Agha Hashar,,,,,UNRESOLVED — do not publish,cannot verify
