section,category,subcategory,question_no,question,option_a,option_b,option_c,option_d,option_e,verified_answer,answer_text,source_key,status,basis
MPT Past Papers,Islamic General Knowledge,"Beliefs, worship and early Islam",1,The Nisab of Zakat in Gold is:,7 1/2 tola,52 1/2 tola,7 tola,None of these,,A,7 1/2 tola,,ANSWER SUPPLIED BY REVIEW,Nisab for gold is 7.5 tola (87.48 g)
MPT Past Papers,Islamic General Knowledge,"Beliefs, worship and early Islam",2,To which country did Prophet Muhammad (SAW) have his first business trip?,Taif,Ethiopia,Syria,None of these,,C,Syria,,ANSWER SUPPLIED BY REVIEW,He travelled to Syria (Sham) with Abu Talib
MPT Past Papers,Islamic General Knowledge,"Beliefs, worship and early Islam",3,What was the real name of Imam Abu Hanifa?,Sabit bin Nauman,Muhammad bin Nauman,Nauman bin Sabit,None of these,,C,Nauman bin Sabit,,ANSWER SUPPLIED BY REVIEW,Imam Abu Hanifa = Nu`man bin Thabit
MPT Past Papers,Islamic General Knowledge,"Beliefs, worship and early Islam",4,What type of Prayer is Namaz-e-Janaza?,Sunnah,Farz-e-Muakkada,Farz-e-Kifaya,None of these,,C,Farz-e-Kifaya,,ANSWER SUPPLIED BY REVIEW,Namaz-e-Janaza is Farz-e-Kifaya
MPT Past Papers,Islamic General Knowledge,"Beliefs, worship and early Islam",5,What is the distance required for 'Qasr' in Prayer?,58 km,85 km,78 km,None of these,,C,78 km,,ANSWER SUPPLIED BY REVIEW,Qasr applies from 48 miles ~ 77-78 km
MPT Past Papers,Islamic General Knowledge,Early Islam,6,Prophet Muhammad (PBUH) belongs to the tribe:,Quresh,Khazraj,Makki,Ummavi,,A,Quresh,A,VERIFIED — matches source,Quraysh
MPT Past Papers,Islamic General Knowledge,Early Islam,7,Which Prophet has the title of Khateeb-ul-Anbiya?,Hazrat Dawood (A.S),Hazrat Nooh (A.S),Hazrat Yaqoob (A.S),Hazrat Shoaib (A.S),,D,Hazrat Shoaib (A.S),D,VERIFIED — matches source,Khateeb-ul-Anbiya is Hazrat Shoaib (AS)
MPT Past Papers,Islamic General Knowledge,Early Islam,8,Al-Hudaibiyah treaty was scribed by:,Hazrat Abu Bakr (RA),Hazrat Umar (RA),Hazrat Usman (RA),Hazrat Ali Al-Murtaza (RA),,D,Hazrat Ali Al-Murtaza (RA),D,VERIFIED — matches source,Hazrat Ali (RA) wrote the Hudaibiyah treaty
MPT Past Papers,Islamic General Knowledge,Early Islam,9,The battle of Yarmuk was fought between the Muslims and:,Romans,Jews,Persians,None of these,,A,Romans,A,VERIFIED — matches source,Yarmuk was fought against the Byzantine Romans
MPT Past Papers,Islamic General Knowledge,Early Islam and Islamic institutions,10,The first-ever international treaty in Islamic history is known as:,Hilf-ul-Fuzool,Bait-e-Rizwan,Treaty of Madina,None of these,,C,Treaty of Madina,,ANSWER SUPPLIED BY REVIEW,"Among the options, the Treaty/Charter of Madina"
MPT Past Papers,Islamic General Knowledge,Early Islam and Islamic institutions,11,What is the name of the Islamic Constitutional Organization of the government of Pakistan?,Pakistan Sharia Council,Islamic Ideology Council,Islamic Economic Council,None of these,,B,Islamic Ideology Council,,ANSWER SUPPLIED BY REVIEW,Council of Islamic Ideology
MPT Past Papers,Islamic General Knowledge,Early Islam and Islamic institutions,12,What is 'Rabbi Zidni Ilma'?,Hadith,Asar,Qur'anic verse,None of these,,C,Qur'anic verse,,ANSWER SUPPLIED BY REVIEW,"Quranic verse, Surah Ta-Ha 20:114"
MPT Past Papers,Islamic General Knowledge,Early Islam and Islamic institutions,13,The wealth/property left by the deceased is called:,Taraka,Sadaqa,Asaba,None of these,,A,Taraka,,ANSWER SUPPLIED BY REVIEW,Taraka = the estate left by the deceased
MPT Past Papers,Islamic General Knowledge,Early Islam and Islamic institutions,14,For how long did the Prophet Muhammad (S.A.W.) and his companions remain in the siege of Shi'ab-e-Abi Talib?,One year,Two years,Three years,None of these,,C,Three years,,ANSWER SUPPLIED BY REVIEW,The boycott in Shi`ab-e-Abi Talib lasted three years
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,15,How many clauses did the Treaty of Hudaybiyyah contain?,7,5,3,None of these,,B,5,,ANSWER SUPPLIED BY REVIEW,commonly recorded as 5 clauses
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,16,What is the literal meaning of 'Ijma'?,Struggle,Consensus,To guess,None of these,,B,Consensus,,ANSWER SUPPLIED BY REVIEW,Ijma literally means consensus
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,17,What is meant by 'Sila-e-Rahmi'?,Boycott,Ties of Kinship,Generosity,None of these,,B,Ties of Kinship,,ANSWER SUPPLIED BY REVIEW,Sila-e-Rahmi = maintaining ties of kinship
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,18,What is the alternative name of 'Ghazwa-e-Khandaq'?,Ghazwa-e-Ahzab,Ghazwa-e-Hunain,Ghazwa-e-Khyber,None of these,,A,Ghazwa-e-Ahzab,,ANSWER SUPPLIED BY REVIEW,Khandaq is also called Ahzab
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,19,In how many Ghazwas did the Prophet Muhammad (S.A.W.) participate?,27,17,37,None of these,,A,27,,ANSWER SUPPLIED BY REVIEW,27 Ghazwas
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,20,Jizya was imposed in the Islamic State by the Prophet of Islam in _____ A.H.,9,7,11,None of these,,A,9,A,VERIFIED — matches source,9 AH
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,21,According to the Quran there are _____ heads where Zakat can be spent.,6,7,8,None of these,,C,8,C,VERIFIED — matches source,"8 heads, Surah At-Tawba 9:60"
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,22,"Lady Haleema (RA), the foster mother of the Prophet (PBUH), belonged to:",Banu Saad,Banu Adi,Banu Taym,None of these,,A,Banu Saad,A,VERIFIED — matches source,Banu Saad
MPT Past Papers,Islamic General Knowledge,Early Islam and jurisprudence,24,"At the time of the conquest of Makkah, the Prophet Muhammad (PBUH) was accompanied by _____ companions.","10,000","15,000","20,000",None of these,,A,"10,000",A,VERIFIED — matches source,"10,000 companions"
MPT Past Papers,Islamic General Knowledge,Islamic history,25,Who was the first caliph of the Umayyad dynasty?,Hazrat Muawiyah (RA),Hazrat Usman (RA),Hazrat Umar bin Abdul Aziz (RA),None of these,,A,Hazrat Muawiyah (RA),,ANSWER SUPPLIED BY REVIEW,Hazrat Muawiyah (RA)
MPT Past Papers,Islamic General Knowledge,Islamic history,26,The Ottoman Empire lasted for _____ centuries.,Six,Seven,Eight,None of these,,A,Six,A,VERIFIED — matches source,"1299-1922, just over six centuries"
MPT Past Papers,Islamic General Knowledge,Islamic history,27,Prophet Muhammad (SAW) stayed at Hazrat Ayub Ansari's house for _____ months.,7,8,9,12,,A,7,A,VERIFIED — matches source,7 months
MPT Past Papers,Islamic General Knowledge,Islamic history,28,Hazrat Haleema (RA) looked after the Holy Prophet (SAW) for _____ years.,1,2,3,6,,D,6,D,VERIFIED — matches source,"about 4 years in the desert, 6 in total counting his return"
MPT Past Papers,Islamic General Knowledge,Islamic history,29,Maliki Fiqh was introduced in Spain in the reign of:,Hashim,Abdul Rehman,Ibn-e-Ishaq,Yazid,,B,Abdul Rehman,B,VERIFIED — matches source,Abdul Rehman
MPT Past Papers,Islamic General Knowledge,Islamic history,30,"At the time of his last Hajj, the Prophet Muhammad (PBUH) addressed _____ Muslims at Arafat.","200,000","140,000","150,000",None of these,,D,None of these,D,VERIFIED — matches source,"commonly given as about 124,000, which is not listed"
MPT Past Papers,Islamic General Knowledge,Islamic history,31,Which was the last Ghazwa of the Holy Prophet (SAW)?,Khyber,Tabook,Hunain,None of these,,B,Tabook,B,VERIFIED — matches source,Tabuk
MPT Past Papers,Islamic General Knowledge,Islamic history,32,"What was the real name of the Holy Prophet's (SAW) uncle ""Abu Talib RA""?",Abdullah,Abd Munaf,Abd Kaaba,None of these,,B,Abd Munaf,B,VERIFIED — matches source,Abd Munaf
MPT Past Papers,Islamic General Knowledge,Islamic history,33,The Ghazwa of Hunain was fought against _____ tribe.,Oass,Khazraj,Hawazin,Knana,,C,Hawazin,C,VERIFIED — matches source,Hawazin
MPT Past Papers,Islamic General Knowledge,Islamic history,34,What is the name of the Muslim scientist who presented the concept of blood pressure?,Ibn un Nafees,Ibn al-Hashim,Ibn Baitar,None of these,,A,Ibn un Nafees,A,VERIFIED — matches source,Ibn al-Nafis described pulmonary circulation
MPT Past Papers,Islamic General Knowledge,Islamic history,35,"Battle field ""Badar"" is situated near the city of:",Makkah,Jeddah,Taaiff,None of these,,D,None of these,D,VERIFIED — matches source,"Badr lies near Madina, not any city listed"
MPT Past Papers,Islamic General Knowledge,Islamic history and jurisprudence,36,Where was the election of Caliph Abu Bakar (RA) held?,House of Abu Bakar RA,Masjid-e-Nabvi,Masjid-e-Haram,None of these,,D,None of these,D,VERIFIED — matches source,"Saqifah Bani Saida, not listed"
MPT Past Papers,Islamic General Knowledge,Islamic history and jurisprudence,37,Which commander was appointed by the Holy Prophet (SAW) and was not removed by Hazrat Abu Bakar (RA)?,Usama b. Zaid,Khalid b. Waleed,Tariq b. Ziyad,Maaz b. Jabal,,A,Usama b. Zaid,A,VERIFIED — matches source,Usama bin Zaid
MPT Past Papers,Islamic General Knowledge,Islamic history and jurisprudence,38,"In the books of Islamic Jurisprudence, the Law of Inheritance is called:",Ilm Ul Fiqah,Ilm Ul Arooz,Ilm Ul Faraiz,None of these,,C,Ilm Ul Faraiz,C,VERIFIED — matches source,Ilm-ul-Faraiz
MPT Past Papers,Islamic General Knowledge,Islamic history and jurisprudence,39,"Which Sahabi is declared as ""Imam-ul-Fuqha""?",Hazrat Ali RA,Abdullah Bin Abbas RA,Maaz Bin Jabal RA,None of these,,B,Abdullah Bin Abbas RA,B,VERIFIED — matches source,Abdullah bin Abbas (RA)
MPT Past Papers,Islamic General Knowledge,Islamic history and jurisprudence,40,"When someone declares his wife just as the relation of ""maharmaat"", that act is called:",Khula,Eela,Zihar,None of these,,C,Zihar,C,VERIFIED — matches source,Zihar
MPT Past Papers,Islamic General Knowledge,Islamic practices and history,41,Which of the following is a key method of self-purification in Islam?,Sawm,Salah,Hajj,None of these,,A,Sawm,A,VERIFIED — matches source,Sawm
MPT Past Papers,Islamic General Knowledge,Islamic practices and history,43,Who is named as Shaikh Ul Anbia?,Hazrat Adam (AS),Hazrat Nooah (AS),Hazrat Ibrahim (AS),Hazrat Muhammad (SAW),,B,Hazrat Nooah (AS),B,VERIFIED — matches source,Hazrat Nooh (AS)
MPT Past Papers,Islamic General Knowledge,Islamic practices and history,44,Musa bin Nusair conquered parts of:,Asia,Africa,Europe,Australia,,B,Africa,B,VERIFIED — matches source,North Africa
MPT Past Papers,Islamic General Knowledge,Jurisprudence,45,What is the name of consensus of a community adopted by scholars of another community?,Ijma Sukuti,Ijma Qolli,Ijma Faili,Ijma Taqriri,,A,Ijma Sukuti,A,VERIFIED — matches source,Ijma Sukuti (tacit consensus)
MPT Past Papers,Islamic General Knowledge,Jurisprudence,46,"""عصبات"" سے کون سے رشتہ دار مراد ہیں؟",ننھیالی رشتہ دار,مردانہ نسب والے رشتہ دار,سسرالی رشتہ دار,ان میں سے کوئی نہیں,,B,مردانہ نسب والے رشتہ دار,B,VERIFIED — matches source,male-line (agnatic) relatives
MPT Past Papers,Islamic General Knowledge,Quran,47,In which Surah are the rules of distribution of Mall-e-Ghaneemat (war booty) mentioned?,Sura Anfal,Sura Toba,Surah Nisa,None of these,,A,Sura Anfal,A,VERIFIED — matches source,Surah Al-Anfal
MPT Past Papers,Islamic General Knowledge,Quran,48,In which Surah is the murder of children prohibited in fear of hunger/starvation?,Surah An'am,Surah Mominoon,Surah Hujrat,None of these,,A,Surah An'am,A,VERIFIED — matches source,Surah Al-An`am 6:151
MPT Past Papers,Islamic General Knowledge,Quran,49,In how many Surahs are Haroof-e-Muqatiyat found?,20,25,29,None of these,,C,29,C,VERIFIED — matches source,29 Surahs begin with Haroof-e-Muqatiyat
